Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,HIGHSD,MTP
E6,Rag2KO Day 7 2 ng/ml IL-7,Ebf1,UNKNOWN,SYBR,None,0.700072229,0.516743541,0.948441684,22.05710983,22.15886688,0.143907547,,-0.55168438,0.101810507,,,0.514424324,TRUE,146010.4921,TRUE,3,13,1,75.87837982,,,,N,N
E7,H2O,Ebf1,UNKNOWN,SYBR,None,0.047173422,0.017087746,0.130229682,39.35300064,39.62553024,0.385415047,,3.339773178,0.340490431,,,4.405881882,TRUE,146010.4921,TRUE,3,28,1,73.58757019,,,,N,N
E8,H2O,Ebf1,UNKNOWN,SYBR,None,0.047173422,0.017087746,0.130229682,39.89805984,39.62553024,0.385415047,,3.339773178,0.340490431,,,4.405881882,TRUE,146010.4921,TRUE,3,26,1,71.82540894,,,,N,N
F1,Rag2KO Day 0,IL7Ra,UNKNOWN,SYBR,None,1,0.713980496,1.400598407,22.65984917,22.5945015,0.092416912,,-0.23604393,0.112963647,,,0,TRUE,184871.8885,TRUE,3,13,1,76.58324432,,,,N,N
F2,Rag2KO Day 0,IL7Ra,UNKNOWN,SYBR,None,1,0.713980496,1.400598407,22.52915192,22.5945015,0.092416912,,-0.23604393,0.112963647,,,0,TRUE,184871.8885,TRUE,3,14,1,76.93567657,,,,N,N
F3,Rag2KO Day 4 2 ng/ml IL-7,IL7Ra,UNKNOWN,SYBR,None,0.499233454,0.293055147,0.85046804,22.90282822,23.06295586,0.226454675,,0.766169548,0.178620592,,,1.002213478,TRUE,184871.8885,TRUE,3,14,1,77.1118927,,,,N,N
F4,Rag2KO Day 4 2 ng/ml IL-7,IL7Ra,UNKNOWN,SYBR,None,0.499233454,0.293055147,0.85046804,23.2230835,23.06295586,0.226454675,,0.766169548,0.178620592,,,1.002213478,TRUE,184871.8885,TRUE,3,14,1,77.28810883,,,,N,N
F5,Rag2KO Day 7 2 ng/ml IL-7,IL7Ra,UNKNOWN,SYBR,None,0.600897193,0.553811729,0.651985943,23.23648262,23.20931816,0.038416348,,0.498765945,0.027360473,,,0.734809875,TRUE,184871.8885,TRUE,3,12,1,77.28810883,,,,N,N
F6,Rag2KO Day 7 2 ng/ml IL-7,IL7Ra,UNKNOWN,SYBR,None,0.600897193,0.553811729,0.651985943,23.1821537,23.20931816,0.038416348,,0.498765945,0.027360473,,,0.734809875,TRUE,184871.8885,TRUE,3,14,1,77.28810883,,,,N,N
F7,H2O,IL7Ra,UNKNOWN,SYBR,None,14.28429604,1.507439137,135.3561249,31.48749352,32.21335602,1.026523232,,-4.072402,0.754013479,,,-3.83635807,TRUE,184871.8885,TRUE,3,21,1,74.82108307,,,,Y,N
F8,H2O,IL7Ra,UNKNOWN,SYBR,None,14.28429604,1.507439137,135.3561249,32.93921661,32.21335602,1.026523232,,-4.072402,0.754013479,,,-3.83635807,TRUE,184871.8885,TRUE,3,25,1,74.64486694,,,,Y,N
G1,Rag2KO Day 0,Runx1,UNKNOWN,SYBR,None,,,,22.73840141,22.83054352,0.130309969,,,,,,,TRUE,205638.8835,TRUE,3,13,1,81.34107971,,,,N,N
G2,Rag2KO Day 0,Runx1,UNKNOWN,SYBR,None,,,,22.92268753,22.83054352,0.130309969,,,,,,,TRUE,205638.8835,TRUE,3,14,1,81.51729584,,,,N,N
G3,Rag2KO Day 4 2 ng/ml IL-7,Runx1,UNKNOWN,SYBR,None,,,,22.21763802,22.29678726,0.111932591,,,,,,,TRUE,205638.8835,TRUE,3,13,1,81.69351196,,,,N,N
G4,Rag2KO Day 4 2 ng/ml IL-7,Runx1,UNKNOWN,SYBR,None,,,,22.3759346,22.29678726,0.111932591,,,,,,,TRUE,205638.8835,TRUE,3,13,1,81.86972809,,,,N,N
G5,Rag2KO Day 7 2 ng/ml IL-7,Runx1,UNKNOWN,SYBR,None,,,,22.70728302,22.71055222,0.004623341,,,,,,,TRUE,205638.8835,TRUE,3,12,1,82.04594421,,,,N,N
G6,Rag2KO Day 7 2 ng/ml IL-7,Runx1,UNKNOWN,SYBR,None,,,,22.71382141,22.71055222,0.004623341,,,,,,,TRUE,205638.8835,TRUE,3,14,1,82.04594421,,,,N,N
G7,H2O,Runx1,UNKNOWN,SYBR,None,,,,36.48986816,36.28575897,0.288656682,,,,,,,TRUE,205638.8835,TRUE,3,22,1,75.7021637,,,,N,N
G8,H2O,Runx1,UNKNOWN,SYBR,None,,,,36.08164597,36.28575897,0.288656682,,,,,,,TRUE,205638.8835,TRUE,3,24,1,75.87837982,,,,N,N
H1,Rag2KO Day 0,Spi1,UNKNOWN,SYBR,None,1,0.611693323,1.634806156,23.45845604,23.5951004,0.193245664,,0.764556885,0.164809853,,,0,TRUE,171399.7728,TRUE,3,14,1,83.27945709,,,,N,N
H2,Rag2KO Day 0,Spi1,UNKNOWN,SYBR,None,1,0.611693323,1.634806156,23.73174667,23.5951004,0.193245664,,0.764556885,0.164809853,,,0,TRUE,171399.7728,TRUE,3,15,1,83.27945709,,,,N,N
H3,Rag2KO Day 4 2 ng/ml IL-7,Spi1,UNKNOWN,SYBR,None,0.475467205,0.252637357,0.894836307,23.93722534,24.13392639,0.27817595,,1.83713913,0.212026834,,,1.072582245,TRUE,171399.7728,TRUE,3,16,1,83.63188934,,,,N,N
H4,Rag2KO Day 4 2 ng/ml IL-7,Spi1,UNKNOWN,SYBR,None,0.475467205,0.252637357,0.894836307,24.33062553,24.13392639,0.27817595,,1.83713913,0.212026834,,,1.072582245,TRUE,171399.7728,TRUE,3,14,1,83.80810547,,,,N,N
H5,Rag2KO Day 7 2 ng/ml IL-7,Spi1,UNKNOWN,SYBR,None,0.694003046,0.667747617,0.721290767,23.98958397,24.00209427,0.017693585,,1.291543007,0.012931323,,,0.526986122,TRUE,171399.7728,TRUE,3,14,1,83.98432922,,,,N,N
H6,Rag2KO Day 7 2 ng/ml IL-7,Spi1,UNKNOWN,SYBR,None,0.694003046,0.667747617,0.721290767,24.01460648,24.00209427,0.017693585,,1.291543007,0.012931323,,,0.526986122,TRUE,171399.7728,TRUE,3,13,1,84.16053772,,,,N,N
H7,H2O,Spi1,UNKNOWN,SYBR,None,79.31499481,10.15885162,619.2498779,30.08263969,30.74079132,0.930768311,,-5.54496479,0.689076304,,,-6.309521675,TRUE,171399.7728,TRUE,3,19,1,76.05459595,,,,Y,N
H8,H2O,Spi1,UNKNOWN,SYBR,None,79.31499481,10.15885162,619.2498779,31.39894485,30.74079132,0.930768311,,-5.54496479,0.689076304,,,-6.309521675,TRUE,171399.7728,TRUE,3,20,1,75.52594757,83.80810547,,,Y,Y
